"Kennziffer";"Berufsgruppe";"Gültig"
"24304";"Berufe Metalloberflächenbehandl. (o.Spez.)-hoch kompl.Tät.";"J"
"2438";"Berufe Metalloberflächenbe.(sonst.spez.Tät.)";"J"
"24382";"Berufe Metalloberflächenbe.(sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"2439";"Aufsichtskr.-Metalloberflächenbehandlung";"J"
"24393";"Aufsichtskr.-Metalloberflächenbehandlung";"J"
"244";"Metallbau & Schweißtechnik";"J"
"2441";"Berufe Metallbau";"J"
"24411";"Berufe Metallbau-Helf./Anlerntät.";"J"
"24412";"Berufe Metallbau-fachl.ausg.Tät.";"J"
"24413";"Berufe Metallbau-kompl.Spez.tät.";"J"
"24414";"Berufe Metallbau-hoch kompl.Tät.";"J"
"2442";"Berufe Schweiß- & Verbindungstechnik";"J"
"24422";"Berufe Schweiß- & Verbindungstechnik-fachl.ausg.Tät.";"J"
"24423";"Berufe Schweiß- & Verbindungstechnik-kompl.Spez.tät.";"J"
"24424";"Berufe Schweiß- & Verbindungstechnik-hoch kompl.Tät.";"J"
"2443";"Industrietaucher/innen & and. Taucherberufe";"J"
"24432";"Industrietaucher/innen & and. Taucherberufe-fachl.ausg.Tät.";"J"
"2449";"Aufsichtskr.-Metallbau & Schweißtechnik";"J"
"24493";"Aufsichtskr.-Metallbau & Schweißtechnik";"J"
"245";"Feinwerk- & Werkzeugtechnik";"J"
"2451";"Berufe Feinwerktechnik";"J"
"24511";"Berufe Feinwerktechnik-Helf./Anlerntät.";"J"
"24512";"Berufe Feinwerktechnik-fachl.ausg.Tät.";"J"
"24513";"Berufe Feinwerktechnik-kompl.Spez.tät.";"J"
"24514";"Berufe Feinwerktechnik-hoch kompl.Tät.";"J"
"2452";"Berufe Werkzeugtechnik";"J"
"24522";"Berufe Werkzeugtechnik-fachl.ausg.Tät.";"J"
"24523";"Berufe Werkzeugtechnik-kompl.Spez.tät.";"J"
"24524";"Berufe Werkzeugtechnik-hoch kompl.Tät.";"J"
"2453";"Berufe Uhrmacherhandwerk";"J"
"24532";"Berufe Uhrmacherhandwerk-fachl.ausg.Tät.";"J"
"24533";"Berufe Uhrmacherhandwerk-kompl.Spez.tät.";"J"
"2459";"Aufsichtskr.-Feinwerk- & Werkzeugtechnik";"J"
"24593";"Aufsichtskr.-Feinwerk- & Werkzeugtechnik";"J"
"25";"Maschinen- & Fahrzeugtechnikberufe";"J"
"251";"Maschinenbau- & Betriebstechnik";"J"
"2510";"Berufe Maschinenbau-&Betriebstech.(o.Spez.)";"J"
"25101";"Berufe Maschinenbau-&Betriebstech.(o.Spez.)-Helf./Anlerntät.";"J"
"25102";"Berufe Maschinenbau-&Betriebstech.(o.Spez.)-fachl.ausg.Tät.";"J"
"25103";"Berufe Maschinenbau-&Betriebstech.(o.Spez.)-kompl.Spez.tät.";"J"
"25104";"Berufe Maschinenbau-&Betriebstech.(o.Spez.)-hoch kompl.Tät.";"J"
"2511";"Maschinen- & Gerätezusammensetzer/innen";"J"
"25112";"Maschinen- & Gerätezusammensetzer/innen-fachl.ausg.Tät.";"J"
"2512";"Maschinen- & Anlagenführer/innen";"J"
"25122";"Maschinen- & Anlagenführer/innen-fachl.ausg.Tät.";"J"
"2513";"Techn. Servicekr. Wartung & Instandhaltung";"J"
"25131";"Techn. Servicekr. Wartung & Instandhaltung-Helf./Anlerntät.";"J"
"25132";"Techn. Servicekr. Wartung & Instandhaltung-fachl.ausg.Tät.";"J"
"25133";"Techn. Servicekr. Wartung & Instandhaltung-kompl.Spez.tät.";"J"
